City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Moose Factory,CA,51.2585,-80.6094,21.2,86,100,4.61,light snow
284,Nalut,LY,30.3333,10.85,44.15,57,0,6.46,clear sky
285,Saint-Philippe,RE,-21.3585,55.7679,83.79,77,37,12.21,scattered clouds
286,Cap Malheureux,MU,-19.9842,57.6142,83.46,66,7,5.01,clear sky
287,Hami,CN,42.8,93.45,33.84,37,44,5.26,scattered clouds
288,Orlovo,RU,51.754,39.5873,-0.11,95,94,2.89,overcast clouds
289,Poya,NC,-21.35,165.15,79.27,66,55,11.54,broken clouds
290,Kuandian,CN,40.7286,124.7847,27.5,47,1,7.61,clear sky
291,Carballo,ES,43.213,-8.691,50.86,87,67,4.25,broken clouds
292,Santiago,CL,-33.4569,-70.6483,72.55,60,0,11.5,clear sky
293,Trudarmeyskiy,RU,54.132,86.4098,9.81,81,78,21.47,broken clouds
294,Lagoa,PT,39.05,-27.9833,61.66,79,100,17.4,overcast clouds
295,Itaituba,BR,-4.2761,-55.9836,73.63,89,87,0.18,overcast clouds
296,Rawson,AR,-43.3002,-65.1023,80.49,42,60,35.39,broken clouds
297,Mount Isa,AU,-20.7333,139.5,92.97,40,67,5.75,broken clouds
298,Waingapu,ID,-9.6567,120.2641,86.92,57,69,7.43,broken clouds
299,Maceio,BR,-9.6658,-35.7353,72.84,94,20,5.75,few clouds
300,Lewisporte,CA,49.2499,-55.0482,19.11,82,68,7.92,broken clouds
301,Codrington,AU,-38.2667,141.9667,67.73,60,95,15.05,overcast clouds
302,Palmer,US,42.1584,-72.3287,30.24,75,0,3.44,clear sky
303,Ilulissat,GL,69.2167,-51.1,3.22,66,67,3.44,broken clouds
304,Mount Darwin,ZW,-16.7725,31.5838,64.44,97,100,3.94,light rain
305,Peno,RU,56.9262,32.7426,7.9,86,85,9.19,overcast clouds
306,Namatanai,PG,-3.6667,152.4333,83.68,70,100,8.3,overcast clouds
307,Santa Cruz,BO,-17.8,-63.1667,74.66,88,75,2.3,broken clouds
308,Port-Gentil,GA,-0.7193,8.7815,77.92,83,100,10.6,overcast clouds
309,Porbandar,IN,21.6422,69.6093,66.18,72,0,0.0,haze
310,Pinega,RU,64.7001,43.3936,-28.55,100,15,4.47,few clouds
311,Wawa,NG,9.9022,4.4192,69.46,28,99,4.07,overcast clouds
312,Jaguaruna,BR,-28.615,-49.0256,67.57,85,85,4.03,overcast clouds
313,Jalu,LY,29.0331,21.5482,51.44,88,0,8.59,clear sky
314,Varzea Da Palma,BR,-17.5981,-44.7308,67.26,97,100,2.24,overcast clouds
315,Margate,GB,51.3813,1.3862,43.88,88,85,4.0,overcast clouds
316,Kirkland Lake,CA,48.1446,-80.0377,23.29,93,95,3.44,overcast clouds
317,Wukari,NG,7.85,9.7833,68.74,23,73,7.45,broken clouds
318,Bria,CF,6.5423,21.9863,62.55,36,83,4.09,broken clouds
319,Liberty,US,31.8335,-81.5004,56.26,87,20,1.99,few clouds
320,Salalah,OM,17.0151,54.0924,71.69,68,75,5.75,broken clouds
321,Nova Olimpia,BR,-14.7972,-57.2881,70.92,89,100,3.65,overcast clouds
322,Valdivia,CL,-39.8142,-73.2459,55.49,99,26,1.7,scattered clouds
